Country Name,Country Code,Series Name,Series Code,2018 [YR2018]
United Kingdom,GBR,CO2 emissions (kt),EN.ATM.CO2E.KT,360555.9
United Kingdom,GBR,Urban population,SP.URB.TOTL,55426598
United Kingdom,GBR,"Unemployment, total (% of total labor force) (national estimate)",SL.UEM.TOTL.NE.ZS,4
United Kingdom,GBR,Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,31.2349066704984
Uruguay,URY,GDP (current US$),NY.GDP.MKTP.CD,65203071110.6037
Uruguay,URY,CO2 emissions (kt),EN.ATM.CO2E.KT,6545.7
Uruguay,URY,Urban population,SP.URB.TOTL,3267136
Uruguay,URY,"Unemployment, total (% of total labor force) (national estimate)",SL.UEM.TOTL.NE.ZS,8.34
Uruguay,URY,Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,26.500573202942
,,,,
,,,,
,,,,
Data from database: World Development Indicators,,,,
Last Updated: 07/25/2023,,,,
